Dish,CorrectCategory
Summertime Peach Ice Cream,dessert
Triple Chocolate Chunk Ice Cream,dessert
Pretzel Sticks,other
Graham Cracker Crumbs,other
Oreo Cookie Crumbs,dessert
Rainbow Sprinkles,other
Caramel  Sauce,other
Strawberry Banana Smoothie,beverage
Buttered Grits,side
Brown Sugar,other
Golden Raisins,other
Dried Cranberries,other
Cage-Free Eggs,main
Cage Free Egg Whites,main
Shelled Egg,main
Shredded Monterey Jack Cheese,side
Canadian Bacon,main
Diced Turkey Sausage,main
Sauteed Spinach,side
Roasted Tomatoes,side
Fire Roasted Jalapenos,side
Roasted Mushrooms,side
Scrambled Eggs,main
Crispy Tater Tots,side
Pork Sausage Links,main
Turkey Sausage Patty,main
French Toast,dessert
Banana Nut Muffin,dessert
Assorted Danishes,dessert
Lemon Strawberry Sugar Cookie,dessert
Herbed Balsamic Vinaigrette,other
Sliced Swiss Cheese,side
BBQ Spiced Shredded Chicken,main
French Fries,side
Veggie Burger,main
Baked Pasta with Italian Sausage,main
Baked Pesto Penne Pasta with Broccoli,main
Shrimp & Broccoli Stir-Fry,main
Broccoli & Red Pepper Stir Fry Mix,side
Oatmeal Raisin Cookie,dessert
Vanilla Ice Cream,dessert
Turkey Chili,main
Vegan Cornbread,side
Vegan Shredded Cheddar Cheese,side
Diced Yellow Onions,side
Jalapeno Peppers,side
Roasted Garlic Breakfast Potatoes,side
Pineapple Pancakes,dessert
Pork Breakfast Sausage,main
Egg,main
Diced Yellow Onion,side
Diced Mixed Bell Peppers,side
Mushrooms,side
Diced Tomatoes,side
Diced Ham,main
Jerk Tofu,main
Pickled Red Onions,side
Shredded Iceberg Lettuce,side
Black Bean Chili,main
"10"" Cauliflower Pizza Crust",side
Chicken Club Pizza,main
Split Pea Soup,main
Old Fashioned Oatmeal,side
Goldfish (R) Crackers,other
Housemade Seasoned Croutons,other
Field Greens,side
Cauliflower Florets,side
Broccoli Florets,side
Diced Grilled Chicken,main
Ranch Dressing,other
Orange Balsamic Vinaigrette,other
Italian Vinaigrette,other
Honey Mustard Dressing,other
Pineapple,side
Sliced Turkey Breast,main
Deli Ham,main
Sliced Salami,main
Pepperoni,main
Sliced Provolone Cheese,side
Sliced Pepperjack Cheese,side
Bread & Butter Pickles,side
Kosher Pickle Spears,side
Chipotle Mayonnaise,other
Dijon Mustard,other
Mayonnaise,other
Ciabatta Roll,side
Flour Tortilla,side
Spinach Wrap,side
Wheat Wrap,side
Udi's Soft White Sandwich Bread,side
Udi's GF Multigrain Bread,side
Waffle Made Without Gluten,dessert
M&M's Pieces,dessert
Blueberry Muffin,dessert
Orange Cranberry Muffin,dessert
Cinnamon Roll,dessert
Chocolate Chip Cookies,dessert
Carnival Cookie,dessert
Traditional Bread Pudding,dessert
Sugar Waffle Cone,other
Brown Rice,side
Furikake Seasoning,other
Braised Beef Brisket,main
Cilantro Lime White Rice,side
Kale with Caramelized Onions,side
Roasted Veggies,side
Grilled Seasoned Chicken Breast,main
Buttermilk Chicken Tenders,main
BBQ Sauce,other
Waffle Fries,side
Tinga Sauce,other
Salsa Roja,other
Sour Cream,other
Chicken Tinga,main
Jackfruit Carnitas,main
Vegan Nacho Cheese Sauce,other
Cherrywood Ham,main
Pesto Aioli,other
Salt & Pepper Potato Chips,side
Beef & Rice Soup,main
Feta Cheese,side
Blueberry Bagel,side
Chocolate Whoopie Pie,dessert
